Feature ID	Taxon	Confidence
OTU.6	d__Eukaryota;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Sprattus;s__Sprattus_antipodum	0.92
OTU.1	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Notolabrus;s__Notolabrus_celidotus	0.98
OTU.5	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Gempylidae;g__Thyrsites;s__Thyrsites_atun	1.00
OTU.3	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion	1.00
OTU.2	d__Eukaryota;p__Chordata;c__Actinopteri;o__Mugiliformes;f__Mugilidae;g__Aldrichetta;s__Aldrichetta_forsteri	1.00
OTU.4	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Cheilodactylidae;g__Nemadactylus;s__Nemadactylus_macropterus	0.86
OTU.9	d__Eukaryota;p__Chordata;c__Chondrichthyes;o__Myliobatiformes;f__Dasyatidae;g__Bathytoshia;s__Bathytoshia_brevicaudata	1.00
OTU.7	d__Eukaryota;p__Chordata;c__Actinopteri;o__Beloniformes;f__Hemiramphidae;g__Hyporhamphus;s__Hyporhamphus_melanochir	0.97
OTU.8	d__Eukaryota;p__Chordata;c__Actinopteri;o__Blenniiformes;f__Tripterygiidae;g__Forsterygion	1.00
OTU.11	d__Eukaryota;p__Chordata;c__Actinopteri;o__Perciformes;f__Bovichtidae;g__Bovichtus;s__Bovichtus_variegatus	1.00
OTU.10	d__Eukaryota;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae	0.66
OTU.12	d__Eukaryota;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Latridae;g__Latridopsis;s__Latridopsis_forsteri	0.90
OTU.13	d__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Centrolophidae;g__Seriolella;s__Seriolella_brama	1.00
OTU.14	d__Eukaryota;p__Chordata;c__Actinopteri;o__Syngnathiformes;f__Syngnathidae	1.00
OTU.16	d__Eukaryota;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae	1.00
OTU.15	d__Eukaryota;p__Chordata;c__Actinopteri;o__Perciformes;f__Plesiopidae;g__Acanthoclinus;s__Acanthoclinus_fuscus	1.00
OTU.17	d__Eukaryota;p__Chordata;c__Actinopteri;o__Ophidiiformes;f__Ophidiidae;g__Genypterus;s__Genypterus_blacodes	1.00
OTU.18	d__Eukaryota;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Trachurus;s__Trachurus_japonicus	0.78
OTU.20	d__Eukaryota;p__Chordata;c__Chondrichthyes;o__Carcharhiniformes;f__Triakidae;g__Mustelus;s__Mustelus_asterias	1.00
OTU.19	d__Eukaryota;p__Chordata;c__Actinopteri;o__Tetraodontiformes;f__Monacanthidae;g__Meuschenia;s__Meuschenia_scaber	0.93
