OTU.6	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Clupeiformes(1.00),f:Clupeidae(1.00),g:Sprattus(1.00),s:Sprattus_antipodum(0.92)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Clupeiformes,f:Clupeidae,g:Sprattus,s:Sprattus_antipodum
OTU.1	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Labriformes(1.00),f:Labridae(1.00),g:Notolabrus(1.00),s:Notolabrus_celidotus(0.98)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Labriformes,f:Labridae,g:Notolabrus,s:Notolabrus_celidotus
OTU.5	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Scombriformes(1.00),f:Gempylidae(1.00),g:Thyrsites(1.00),s:Thyrsites_atun(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Gempylidae,g:Thyrsites,s:Thyrsites_atun
OTU.3	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(1.00),f:Tripterygiidae(1.00),g:Forsterygion(1.00),s:Forsterygion_sp.(0.48)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion
OTU.2	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Mugiliformes(1.00),f:Mugilidae(1.00),g:Aldrichetta(1.00),s:Aldrichetta_forsteri(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Aldrichetta,s:Aldrichetta_forsteri
OTU.4	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Centrarchiformes(1.00),f:Cheilodactylidae(1.00),g:Nemadactylus(0.95),s:Nemadactylus_macropterus(0.86)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Centrarchiformes,f:Cheilodactylidae,g:Nemadactylus,s:Nemadactylus_macropterus
OTU.9	d:Eukaryota(1.00),p:Chordata(1.00),c:Chondrichthyes(1.00),o:Myliobatiformes(1.00),f:Dasyatidae(1.00),g:Bathytoshia(1.00),s:Bathytoshia_brevicaudata(1.00)	+	d:Eukaryota,p:Chordata,c:Chondrichthyes,o:Myliobatiformes,f:Dasyatidae,g:Bathytoshia,s:Bathytoshia_brevicaudata
OTU.7	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Beloniformes(1.00),f:Hemiramphidae(1.00),g:Hyporhamphus(1.00),s:Hyporhamphus_melanochir(0.97)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Beloniformes,f:Hemiramphidae,g:Hyporhamphus,s:Hyporhamphus_melanochir
OTU.8	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Blenniiformes(1.00),f:Tripterygiidae(1.00),g:Forsterygion(1.00),s:Forsterygion_capito(0.22)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Blenniiformes,f:Tripterygiidae,g:Forsterygion
OTU.11	d:Eukaryota(1.00),p:Chordata(1.00),c:Actinopteri(1.00),o:Perciformes(1.00),f:Bovichtidae(1.00),g:Bovichtus(1.00),s:Bovichtus_variegatus(1.00)	+	d:Eukaryota,p:Chordata,c:Actinopteri,o:Perciformes,f:Bovichtidae,g:Bovichtus,s:Bovichtus_variegatus
